Target,Probe AS,Group ID,Country,Probe Count,Latitude,Longitude,Neighbor Count,Neighbors,Probe IDs,Median RTT (ms),RTT Range (ms),Min RTT (ms),Max RTT (ms)
Ubisoft AS49544,AS3320,AS3320-2,DE,30,52.511966666666666,13.377333333333333,3,"AS1299, AS2914, AS3356","1004842, 1008250, 1009607, 1010158, 10811, 12028, 12298, 1350, 14596, 14694, 159, 21469, 22054, 28487, 28933, 30566, 30777, 32064, 32424, 32711, 34442, 34612, 35137, 51092, 51156, 51279, 560, 60290, 61309, 7075",22.161749999999998,21.391000000000002,16.166,37.557
Ubisoft AS49544,AS3320,AS3320-3,DE,28,51.074214285714284,12.00325,2,"AS2914, AS3356","1006526, 1007342, 1008061, 1008801, 11952, 13314, 14894, 15921, 16286, 17250, 2468, 28296, 29688, 29984, 30958, 32132, 32694, 33461, 33522, 33524, 50800, 51191, 51403, 53056, 53254, 55331, 62387, 62459",24.11,25.038,18.66,43.698
Ubisoft AS49544,AS3320,AS3320-4,DE,21,53.63507142857142,9.953880952380953,3,"AS1299, AS2914, AS3356","1000553, 1001619, 1003678, 1008706, 1009127, 10250, 1326, 15024, 18956, 23368, 27321, 28762, 29204, 29704, 33518, 53186, 53746, 60481, 61776, 62031, 62539",18.6555,30.310499999999998,11.921,42.2315
Ubisoft AS49544,AS3320,AS3320-5,DE,9,49.35605555555556,7.035055555555555,2,"AS2914, AS3356","1004591, 1008016, 1008047, 18089, 28582, 28934, 29213, 29962, 51204",16.47,5.587999999999999,14.961,20.549
Ubisoft AS49544,AS3320,AS3320-6,DE,5,53.0991,8.518699999999999,2,"AS1299, AS2914","1003741, 28956, 29958, 32600, 55012",19.987,10.641,15.3085,25.9495
Ubisoft AS49544,AS33991,AS33991-1,RU,2,56.0105,92.855,2,"AS31133, AS9498","1003337, 10287",97.70525,0.0315000000000083,97.6895,97.721
Ubisoft AS49544,AS34984,AS34984-1,TR,4,40.9995,29.1595,2,"AS1299, AS2914","1002729, 64093, 64150, 64837",52.33525,5.066499999999998,48.5585,53.625
Ubisoft AS49544,AS47524,AS47524-1,TR,5,41.0015,28.9899,2,"AS1273, AS1299","1004070, 32707, 51863, 64875, 64979",59.603,11.837499999999999,49.588,61.4255
Ubisoft AS49544,AS5089,AS5089-1,GB,3,52.841499999999996,-1.8964999999999999,2,"AS5089, AS6830","17990, 31490, 52014",23.5485,5.018000000000001,22.666,27.684
Ubisoft AS49544,AS6730,AS6730-1,CH,38,47.05626315789473,7.66828947368421,2,"AS6730, AS6830","1000178, 1000503, 1001151, 1003731, 1004111, 1005361, 1005559, 1005835, 1008219, 1009356, 12898, 16137, 19560, 19650, 21513, 22456, 24846, 25723, 29752, 31078, 31561, 31850, 32453, 50673, 50741, 50779, 52223, 53224, 53260, 53351, 53804, 55823, 60615, 61988, 62372, 64936, 7344, 7372",28.662,26.780000000000005,17.743,44.523
